Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Greenhouse window auto vent,26199
Overhead ventilator,26200
Patio door vent,26201
Sun tunnel,5487
Flat roof window,26198
Roof hatch,30472
Roof window,26220
Skylight,12566
Roof window insulation collar,26197
Frame extender,12268
Apron flashing,26177
Coupled flashing,31942
Roof window flashing,26181
Single flashing,31940
Single window recessed slate flashing,26185
Slate flashing,26186
Slate tile flashing,26188
Tile flashing,26187
Triple-wall side flashing,26219
Twin flashing,31935
Twinwall side flashing,26191
Cavity closer,18589
Electric garage door emergency opening kit,35185
Garage door floor guide,29813
Decorative insert,29819
Garage door,25914
Garage door pair,25915
Garage door set,25916
Garage door with wicket,29814
Garage door frame,25910
Garage door emergency release device,25911
Garage door opener,29811
Garage door remote control system,25909
Garage door bell push control,25905
Garage door fixing kit,25907
Garage door hand held transmitter,25908
Radio switch,29878
Door panel,12152
Door pair maker,31311
Glass vision panel,35260
Interior door glass panel,35188
Interior folding door panel,34359
Interior front door,34270
Door frame kit,33861
Door lining set,25863
Door beam,33860
Door frame base,33862
Door frame extender,33863
Left support,33865
Right support,33864
Room divider,25868
Sliding door,12582
Sliding door mechanism,25866
Door set,25867
Fire door,12239
Door frame & set,30402
Door & frame set,26509
Fire door & frame set,26510
Door sidelight,31046
French door,26647
French door set,25858
Patio door & frame,25832
Patio doors with shutters,33424
Bird screen,29199
Insect screen,29200
Screen,32994
Door canopy,25829
Patio door,25831
Patio door set,25835
External door frame,25855
Patio door frame,25833
Bi-folding door,25853
Back door,25846
Entrance door,25847
External fire door,25848
Front door,25849
Front/back door,25851
Folding door sidelite,25843
French door sidelite,25844
Patio door sidelite,25842
Sidelite,25841
Back door & frame,25837
Door set & frame,31245
Door set & letter plate,31951
Front door & frame,25838
Front door & frame with letter plate,25839
Porch finial,31312
Porch side panel,31289
Drive belt,34263
Carbon brush,34255
Cement mixer drum,32563
Plate compactor pad,34273
Plate compactor,30940
Dumper,30939
Compact air compressor,32810
Compressor,5525
Plasma cutter,27070
Welder for plastic pipes,34285
GTAW/TIG welder,30935
Inverter welder,32812
MIG welder,33050
Arc welder,30933
Framing nailer,33295
Gas nailer,18828
Nailer,30932
Nailer & stapler,33225
Air brad nailer,33049
Air finish nailer,33046
Air flooring nailer,33048
Air nail gun kit,33047
Angled framing nailer,32808
Nailer kit,32813
Site speaker,30931
Wallpaper stripper,12853
Poker,30938
Airless paint sprayer,30927
Sandblasting gun,34397
Paint gun,34394
Paint sprayer,33226
Primer gun,34395
Primer sprayer,34396
Solenoid paint sprayer,30929
HVLP paint sprayer,30928
Grinder fitting key,34907
Mortising machine,34873
Drywall cut-out tool,35084
Router table,33673
Shaper & router table,33674
Whetstone sharpener,30941
Grinder linisher,30797
Grinder sander,30798
Bench grinder,30791
Bench grinder & polisher,33738
Laminate trimmer,30980
Router,27883
Wall chaser,18834
Scroll saw,12514
Chop saw,27877
Circular saw,30793
Disc cutter,35633
Mini saw,33230
Plunge saw,30807
NanoBlade saw,33751
Reciprocating saw,30809
Compound mitre saw,30795
Sliding double compound mitre saw,30812
Sliding mitre saw,30813
Table mitre saw,33231
Sanding base,16955
Bobbin sander,33671
Oscillating sander,33672
Spindle sander,27869
Belt sander,27864
File belt sander,33227
1/2 sheet sander,30785
1/3 sheet sander,30786
1/4 sheet sander,30787
Sheet sander,27870
Delta sander,30796
Detail sander,27865
Palm sander,32811
Multi sander,33228
Sanding roller,33750
Belt & disc sander,27863
Disc sander,27867
Angle grinder twin pack,33129
Combi drill & angle grinder,33130
Combi drill & drill driver,33131
Combi drill & hammer pack,33132
Combi drill & impact driver,33133
Combi drill & impact wrench,33134
Combi drill & jigsaw,35201
Combi drill & multi cutter,33135
Combi drill & multi tool,33136
Combi drill & SDS+ drill,33137
Drill & screwdriver,33138
Drill driver & impact driver,33139
Grinder & screwdriver,35938
Nailer twin pack,33140
Power tool kit,30808
Planer,30805
Planer thicknesser,30806
Thicknesser,35180
Cleaning brush,21454
Multi tool,33229
Work light tripod,33700
Work light,26883
Work light with tripod,34591
Lathe insert,34872
Lathe,30803
Breaker,27887
Pillar drill,30804
Combi drill,30794
Vivarium heat mat,36104
Vivarium heat pad,36103
Aquarium water treatment liquid,36088
Beekeeping veil,36040
Beekeeping tool kit,36039
Tracker,36031
Dress,36019
Hair trimmer,36127
Glove,36111
Claw clippers,35970
Clippers,35971
Animal grooming kit,35810
Step,6014
Pen,36115
Hedgehog crossing,34341
Hutch cover,36135
Cage,36027
Crate tray,36026
Wipe,36125
Manure scoop & rake,36067
Sand sheet,35965
Bird perch,36091
Stable toy,36072
Dog agility tunnel,36053
Cat cardboard scratcher,36043
Bird cage toy,36041
Lick mat,36112
Wheel trims,28796
Power hoist,36198
Hydraulic vehicle lift,36193
Workshop pipe bender,29055
Hoist support arm,29080
Chain block,29084
Roof bar rail kit,36596
Convertible repair kit,36288
Van roof roller kit,29074
Vehicle battery tester,28801
Car safety hammer,36180
Vehicle safety hammer,36208
Convertible wind deflector,36187
Convertible wind stop,36188
Car cover,36173
Vehicle cover,36202
Car bin,36170
Car boot organiser,36172
Dash camera,30045
Vehicle bluetooth adaptor,35737
Vehicle blind spot mirror,35736
Car rearseat monitoring mirror,35735
In-vehicle storage organiser,35741
In-vehicle holder,35740
Cup holder ash tray,35762
Trailer spare wheel holder,35442
Windscreen protector,32377
Spring set,29114
Ring set,29113
Headlight repair kit,29112
Car boot mat,29111
Beacon bracket,29110
Car vacuum cleaner,29015
Tyre pressure gauge,29061
Tyre safety kit,32961
Tyre tread gauge,29062
Trailer,29099
Trailer wheel fixing kit,29098
Ring compressor,34384
Bolt & nut extractor,34383
Servicing tool set,28963
Oil filter strap wrench,28962
Fluid extractor,29085
Automotive dashboard & trim cleaner,36435
Underbody protection,28979
Body repair kit,28974
Panel beating kit,32959
De-icer,29009
Lubricant,32378
Wheel stand,34710
Chock,28986
Axle stand,28985
Automotive speaker,36284
Coaxial speaker,36285
Multisocket,33615
Multi-function power unit,34831
Jump start,29019
Automatic battery charger,30981
Battery & trickle charger,29018
Battery charger,27202
RMS battery charger,30982
Smart battery charger,30983
Trickle charger,32379
Digital safe,32735
Non-fire-rated digitally-locked safe,29143
Digitally-locked safe,32733
Fire-rated digitally-locked safe,29146
Chest,32802
Fire-rated chest,29151
Mosquito net,35115
Camping gas stove,34253
Flying disc game,36444
Football & basketball game,36449
Hoopla game,36443
Megabouncer,36445
Spring rocker,36415
Slide & swing anchor kit,36414
Pogo stick,36413
Pogo ball,36412
Ball pit,36405
Ball pit balls,36404
Playhouse with slide,36275
Climbing frame with swing,36270
Bubble lawnmower,34013
Beach accessory set,35845
Sand & water table,35838
Wheelbarrow set,34609
Basketball,35835
Crater ball,33975
Football,32030
Tennis ball,32061
Snowboard,34015
Ring toss,35842
Lawn darts set,36277
Giant hopscotch,32060
Training set,34109
Goal,34108
Goal & target shot,34107
Pop-up goals,35834
Cricket set,35836
Catch game,32065
Bubble tub,34014
Boules,9768
Bat & ball set,36266
Pool noodle,36235
Playhouse toy set,36234
Water park,32725
Water play centre,36473
Climbing wall handle,36231
Climbing wall stone,36241
Climbing spider web,36230
Ball target sheet,36229
Snorkel & mask set,35784
Swing & slide,13525
Playground boat,34613
Play sand,25688
Sledge,12567
Giant tumble tower,35841
Hula hoop,36725
Skipping rope,36741
Stunt kite,36742
Water balloon pump,33950
Family fun pool,31648
Family lounge pool,31657
Family swimming pool,31759
Inflatable pool,34461
Paddling pool,27573
Pool,31724
Trampoline,13114
Trampoline & enclosure,31721
Trampoline accessory kit,30824
Spa canopy,36296
Spa dome,36298
Swimming pool & spa water treatment kit,35819
Swimming pool & spa water treatment,35832
Swimming pool skimmer filter,35830
Swimming pool skimmer weir flap,35829
Swimming pool filter media,35828
Swimming pool filter nozzle,35827
Suction hose kit,35816
Swimming pool skimmer hose & adapter set,35815
Swimming pool pump cover,35814
Floating swimming pool water analyzer,35813
Pool water tester,36460
Water testing kit,35390
Swimming pool ladder,35386
Swimming pool hand rail,35385
Sauna back rest,35375
Pool filter,35374
Litmus paper,35371
Swimming pool with pump,34898
Swimming machine,34009
Pool heater,33921
Algae brush,34776
Cleaning set,33969
Corner brush,33477
Filter cleaning brush,34774
Pool steps brush,34777
Wall brush,34775
Bath stool,34436
Bathroom chair,34437
Spa furniture,27674
Absorbaball,35197
Algaecide,34012
Alkalinity increaser,33953
Biofilm remover,34654
Chemical starter kit,32054
Clarifier & flocculant,34891
Filter cartridge cleaner,35195
Filter cleaner,33645
Foam remover,33951
Miracle cleaning pad,33644
PH decreaser,34011
PH increaser,34010
Pool cleaner,34235
Spa chemical,27675
Stain & scale controller,33952
Test strips,32027
Vinyl surface cleaner,35196
Cover,27553
Cover guard,32025
Cover support,34017
Cover lifter,27555
Swimming pool hose connector,35848
Shade sail fixing kit,31754
Barbecue shelter,35799
Garden table & bench set,35685
Outdoor shower,35373
Cool stool,22280
Parasol pole,22408
Shade sail pole,34006
Bistro set,29331
Coffee set,29351
Sunlounger & table set,34541
Parasol base,12884
Parasol accessory,27604
Parasol replacement canopy,36571
Bench,18691
Bench & storage box,29370
Barbecue side shelf,36550
Barbecue stand,36549
Grill spatula,32043
Digital barbecue smoker,35869
Barbecue stone,32482
Pizza stone,32542
Barbecue rotisserie,35546
Tripod hanging grill,34005
Grilling hub,33923
Pizza oven,24104
Bucket barbecue,31777
Barbecue basket,32020
Barbecue drip pan,30663
Barbecue grill pan,30662
Barbecue pot,35676
Barbecue tray,31693
Barbecue wok,36709
Barbecue wok & steamer,36708
Grill basket,33310
Poultry stand,36723
Barbecue fan,27438
Electric fence energiser,29163
Planter,12795
Vertical garden planter,35798
Pot saucer,34043
Saucer,10651
Trough saucer,32107
Raised bed kit,27652
Trough,13449
Capillary matting sheet kit,36635
Planted living wall kit,36500
Climbing plant,35802
Planted hanging basket,21331
Planted hanging pot,33111
Growing kit,35792
Fruit seeds,35791
Capillary matting sheet,35670
Lawn turf,27618
Wildflower turf,27636
Flower bulb,27611
Drill driver set,35448
Pendant light,29852
Ground light,12329
Smart ground light,36249
Smart stake light,36250
Stake light,12711
String light,24447
Lamp post,18396
Post light,12770
Underwater light,35389
Attachable fence light,34625
Decorative light,8222
Hanging bulb,34088
Hanging light,30219
Hanging lantern,29844
Mini lantern,30606
Outdoor lamp,12653
Fence post light,34087
Barbecue light,34008
LED light,33970
4 faces wall light,29825
Wall light,8233
Ball light,33324
Mosquito repellent light,30253
Spike light,12632
Hazard lamp,36617
Warning light,29884
Decking light,30605
Pillar light,30761
Pond light,8223
Rock cube light,33929
Rock ground light,29857
Spike floodlight,29860
Spotlight,12678
4 faces lamp post,18404
4 faces post light,18399
Bollard light,8224
Post lantern,8232
Bulkhead wall light,29830
Fence light,8307
Flood light,8308
Mosquito repellent UV light,18422
Security light,8309
Twin wall light,8310
Floodlight,12259
Gutter lamp,30763
Sconce light,31882
Solar lamp,35507
Twin flood light,30218
Wall/stake light,30762
Deck light,18418
Deck lighting extension kit,8220
Deck lighting kit,8221
Decking lighting extension kit,30784
Decking lighting kit,30783
Floor light,12255
Floor spot light,29841
Step light,29864
Pendant lamp,12804
Table lamp,29865
Water ball light,33325
Curtain lights,12111
Net lights,12648
Parasol light,13492
Brick light,18394
Double spike spotlight,36663
Marker light,29849
Spike spotlight,36664
Walkover light,30611
Lantern speaker light,34032
Switch wall light,33930
6 faces wall light,29826
Bulkhead,29828
Coach lantern,29833
Half wall light,29842
Hanging coach lantern,29843
Hanging wall light,29845
Twin security light,30217
Up & down wall light,29867
Wall lantern,29869
6 faces lamp post,18413
6 faces post light,18408
Post topper light,29854
Under roof light,12727
Lamp shade carrier,35190
Stairway light,34355
Floor & table lamp stand,33396
Floor lamp stand,33393
Lamp stand,33398
Table lamp stand,33397
Light diffuser,33415
Lighting accessories set,32576
Light shade reducer,32433
Shade adapter,32678
Floor & table lamp base,32432
Floor lamp base,26910
Table lamp base,26913
Bathroom wall light,10519
Bulkhead light,29829
Display light,29836
Double bathroom wall light,30782
Double wall light,29839
Picture light,26890
Wall uplighter,26916
Clip-on desk lamp,26907
Desk lamp,29835
Illuminated sign,30226
Table & floor lamp,26885
Table lamp with remote,10517
Table light,10522
Task lamp,30225
Batten strip light,28419
Strip light,26905
Strip light kit,26906
Strip light starter kit,30612
Strip light upgrade kit,30607
Bathroom spotlight,26911
Double spotlight,29838
Mini spotlight,29850
Sconce spotlight,31883
Spotlight bar,29861
Spotlight plate,29862
Suspended spotlight,31578
Projector lamp,26912
Projector light with remote,26903
Projector torch,29855
Fibre optic lamp,10523
Night light,12670
Night light adapter,11746
Projector & night light,10505
Sensor night light,10521
USB night light,30224
Lamp shade,30222
Light shade,26902
Light shade & diffuser,30223
Uplighter light shade,30221
Light panel,22245
Floor & table lamp,32679
Floor lamp,26901
Floor lamp with remote,26917
Floor spotlight,34496
Mother & child floor light,33583
Shelf floor lamp,34638
Uplighter floor lamp,29868
Drawer light,26904
Chandelier,26889
Light pendant,29848
Pendant ceiling light,26909
Bathroom ceiling light,26886
Ceiling light,21381
Ceiling light with remote,26914
Ceiling fan light,26888
Cabinet corner light,35357
Cabinet downlight,29831
Cabinet light,26887
Cabinet light kit,26908
Cabinet spotlight,29832
Cabinet strip light,26915
Over cabinet light,29851
Under cabinet light,10518
Speaker lantern,35454
Detachable light,33395
Portable lamp,33830
Angle light,34870
Flashlight,31879
Light,24929
Plasterers light,26884
Portable light,29853
Site light,29859
Twin head work light,30609
Under-bonnet work light,31880
Work light & torch,29870
Work task light,30220
Compact torch,26879
Inspection torch,33896
Key chain light,29846
Keylight,29847
Portable flashlight,26880
Push light,29856
Spotlight torch,31884
Survival torch,26881
Camping lantern,31877
Small lantern,26016
Inspection lamp,30212
Inspection light,12430
Shop light,30215
Head lamp,30216
Head light,12355
Head torch,26878
Fluorescent starter,31577
Transformer,22337
LED driver,25759
Motion sensor,12539
Motion sensor switch,34230
Track system with integrated LED,26078
Lighting central connector,26080
Lighting connector,21734
Lighting internal connector,26077
Lighting live end,26076
Lighting track connector,35937
Panel suspension kit,26075
Panel surface mount,26074
Commercial downlight,26072
Track,13100
High bay light,26070
Low bay light,26071
Emergency light,30213
Emergency lighting kit,36724
Safety light,30214
Sign,26068
Emergency lighting pack,26066
Emergency lighting gear tray,26065
Batten starter,11778
Standard universal starter,29863
Tube starter,24363
Shaver light,29858
Twin batten,30211
Double floodlight,29837
Slimline floodlight,30210
Smart ceiling light,33360
Flexible strip light,26063
Flexible strip light extension pack,26062
Light strip extension pack,30209
Light strip starter pack,30208
Smart downlight,26061
Downlight kit,26060
Light bulb,25637
Smart bulb,30608
Smart lighting kit,26058
Smart lighting starter kit,26057
Bulb set,28797
Wire connector box,35249
Lampholder with motion sensor,34983
Downlight with speaker,34735
Binnacle,30206
Contractor downlight,29834
Downlight,25743
Drop rod downlight,30207
Downlight lamp holder,25745
Downlight holder,25746
Downlight holder clip set,31878
Fixation ring,35242
Downlight guard,25747
Downlight insulation guard,29840
Downlight conversion kit,30610
Downlight converter,12413
Downlight bezel,12414
Voltage regulator,35717
Solar panel controller,35682
Coolant additive,35681
Solar panel tube,35679
Solar panel vacuum tube,35686
Solar panel kit,35410
Printer stand,35310
Laminator,33691
Rotary telephone,32623
Telephone,32605
Knife blade fuse,35924
Fuse wire,32570
Consumer unit fuse,33814
Consumer unit fuse insert,31600
Automatic fuse,31593
Fuse capacitor,31604
Fuse holder,31586
Power tool battery,25499
Battery adaptor,25500
Battery charger adaptor,33385
Conduit tee,35960
Trunking joint cover,35919
Trunking mounting clip,35931
Desk cable grommet,35930
Trunking partition,35929
Conduit accessory pack,32566
Trunking for consumer unit,31598
Inspection tee,30022
Trunking tee,25939
Cable trunking,36139
Decorative trunking,30084
Micro trunking,21792
Mini quadrant trunking,30071
Mini trunking,21680
Slotted trunking,30050
Trunking length,25945
Accessory pack,33670
Cable tidy kit,34520
Trunking coupler,25938
Trunking kit,25942
Trunking end cap,25933
Trunking cable retainer,25937
Angle box,30893
Angle joint,30887
Micro trunking angle,30403
Trunking angle,25936
Trunking adaptor,25935
Floor cable cover,21795
Floor box,25934
Conduit,7959
Corrugated conduit,30052
Flexible conduit length,25929
Bar saddle,30049
Conduit saddle,34901
Spacer bar saddles,30021
Conduit locknut,25930
Conduit lockring,25946
Conduit length,25941
Conduit insert,25922
Conduit hook,25927
Conduit hex plug,25926
Conduit extension ring,25923
Bend,30309
Inspection bend,12440
Inspection elbow,30020
Conduit couplers,25928
Conduit clip,25932
Conduit box,25924
Terminal box,33799
Through box,33806
Conduit box lid,25921
Circular adaptor,30048
Conduit adaptor,25931
Pattress adaptor,30019
Channelling length,25940
Cable tidy tube,34548
Cable wrap,25944
Cable zipper,34522
Cable carrier,30018
Cable masking cover,35986
Cable roller,21754
Cable tidy,21875
Cable tidy shelf,34240
Cable tidy unit,21690
Cable hook,25943
Junction box cover plate,21475
Double/single dry lining box,30072
Dry lining box,30051
Dual dry lining box,30025
Mounting box,25975
Junction box,12494
Junction box insert,25974
Datalogger card,32613
Datalogging personal display,32625
Off-grid inverter,36689
WLAN Stick,32609
Com card retrofit,32581
Datalogger,32567
ADSL filter,32083
Ethernet switch,32082
Point,31944
Router & point,31943
Wireless router,30597
Wireless range extender,25972
Wireless adaptor,25971
Nano powerline adaptor starter kit,30317
Powerline,25967
Powerline adapter,30024
Whole home WiFi add-on disc,33509
Whole home WiFi system,30316
Wi-Fi extender,21347
Wi-Fi mini hotspot,30314
Wi-Fi web link,30315
Patch panel,25966
Patch lead,25970
Network installation tool kit,25962
Insertion tool,25963
Cable coupler,30629
Data cable coupler,25969
Phono coupler,30620
Data cable connector,25968
Data cabinet,25961
Connector compression tool,25965
Cable tester,25964
Remote controller,30769
Room controller,25919
Multimedia speaker,25918
Energy monitor,25917
Energy saving meter,33023
Earth split connector,35920
Earthing cable,35750
Radiator earth clamp set,25902
Earthing plate,25901
Earth terminal block,26103
Earth rod,26101
Earth rod coupler,26098
Earth rod stud,26095
Earth rod clamp,25896
Earth pit,25895
Earth clamp,25898
Capsule mounting bracket,25903
Corner connector,36624
Cross container,36625
HDMI switch,35916
Cable end organiser,35915
Cable connector kit with tools,34887
Cable protector sheaths,34251
Resin joint kit,32561
Strip light angle connector,33820
Strip light connector,32367
Strip light corner connector,33352
Strip light cross connector,33316
Strip light tight connector,33357
Strip light connecting lead,32366
Strip light mounting bracket,32365
Strip light end cap,32364
Wire lubricant,25976
Installer box kit,25985
Heat shrink sleeving,21769
Heat shrink tubing,25246
Grommet,25982
Gel enclosure,21435
Fire cable clip,21434
Crimp,25981
Lug,33735
Tube lugs crimp,30017
Cable tie,21120
Cable mount,30307
Cable tie mount,21433
Masonry mount base,21772
Screwable cable tie mount,34519
Tie mount base,21778
Cable sleeving,21436
Cable gland,12000
Compression gland,30047
CW gland,21481
Gland kit,18657
Tail gland kit,30070
Cable entry cover,21432
Aux connection kit,30016
Boundary wire connector,31465
Cable connector,25980
Cable connector strip,30046
Cable joint,30069
Connecting strap,30083
Connector & end cap,30096
Connector block,30104
Crimp connector,30110
F connector,30115
Gel filled cable connector,30118
In-line cable joint,30123
In-line wire connector,30127
Lever connector,30619
Lug connector,30129
Mini wire connector,21473
Push-in wire connector,34523
RCA connector,33734
Satellite connection kit,30131
Solder seal connector,34429
T splitter,33323
Terminal line connector,21757
Wago connector,30133
Wire connector,21474
Y splitter,35140
Connecting clips,30891
F-Clip,34516
Rope lighting clips,30628
Securing clips,30631
Shotgun clip,34518
Stag clip,34515
Suction clips,30617
Trunking clips,13119
U-Clip,34517
Cable cleat,18655
Smoke alarm with PIR,32878
Door view camera,31857
Video doorbell,30015
Video doorbell with homebase,34549
Video intercom system,25642
Smart smoke alarm,25775
Smoke & carbon monoxide alarm,30596
Smoke alarm,32471
Module,8151
Solar module,30014
Smart camera,30082
Smart IP camera,25761
Intruder alarm kit,25733
Security system,33107
Starter alarm kit,33733
Carbon monoxide alarm,25773
Heat alarm,26154
Smart DVR,25763
Smart NVR,25764
CCTV & DVR/NVR kit,33523
CCTV DVR kit,33522
CCTV kit,13170
Smart battery-powered IP camera,25766
All-in-one camera,25767
All-in-one security system,30618
All-in-one video system,25768
Floodlight camera,30528
Spotlight camera,33797
IP camera,25727
Bullet camera,30306
Cam HD camera,30013
CCTV camera,12013
Dome camera,33732
Dummy camera,30304
HD dash camera,30068
Time lapse construction camera,30095
PIR image camera,30624
CCTV cable,25729
CCTV extension cable,32472
Camera system,33391
CCTV & DVR system kit,30012
DVR & NVR kit,25728
Smart TV USB stick,35933
Aerial mast cap,35928
Smart Television,35733
Antenna,35340
TV cable box,34282
Sky extra room kit,32610
Signal extender,32559
Selector,32558
Video transmitter,32085
Satellite LNB,32084
Satellite dish,31401
Amplifier,26010
Multimedia consumer unit,31585
3 phono to scart lead,30011
Coaxial connector,30067
Connector kit,30081
F plug to coaxial plug adaptor,34400
F socket to coaxial plug adaptor,30094
HDMI cable,30616
HDMI coupler,33736
"Quadruplex satellite, TV & radio connection module",30103
Scart lead,30044
Scart to scart lead,30109
Sky compatible TV link,30114
"Triplex satellite, TV & radio connection module",30122
TV connector,26014
TV filter,30126
Video adaptor,35509
ADSL splitter,30080
Aerial splitter,30093
Coaxial aerial splitter,30010
Coaxial splitter,30102
Diplexer coaxial aerial splitter,30108
HDMI splitter,34399
Headphone splitter,30113
Satellite F splitter,30066
Satellite splitter,30121
Splitter,26013
Stereo jack,30886
T-splitter,30043
TV/Satellite combiner,33730
Digital signal finder,30009
Satellite finder,30042
Signal finder,26012
TV signal finder,30065
Remote control receiver,26003
Connector cable,26011
Optical cable,30627
SCART cable,36451
Aerial amplifier,30008
Aerial distribution amplifier,11868
Distribution amplifier,30064
Pro amplifier,30079
Signal amplifier,30092
Amplifier power supply,25994
Aerial,21333
DAB radio aerial,30041
Digital TV aerial,30007
DIR aerial,30112
FM radio ribbon aerial,30107
Omni-directional DAB radio aerial,30078
Aerial mast,25988
Aerial bracket,30106
Aerial chimney fixing kit,34779
Aerial clamp,30062
Aerial fixing,25991
Aerial fixing kit,30116
Aerial loft bracket,30040
Aerial mounting kit,30006
Aerial wall fixing kit,30077
Satellite dish kit,30091
Satellite kit,30101
Digital weather station,30201
Weather station,36224
Smart programmable room thermostat & receiver,26150
Thermostat starter kit,35014
Hot water kit,33024
Thermostat extension kit,26149
Room thermostat,13099
Smart relay,25958
Key fob remote control,30026
Remote control,13020
Home,30638
Home Hub,30640
Home Mini,30639
Hub,32457
Hub Max,32458
Mini,31837
Smart clock,33739
Voice assistant,25437
Smart room controller,25954
Room control module,25955
Energy saving power meter,30890
Bridge,8504
Chromecast,30527
Mobile access kit,33841
Room control sensor,25949
Room control hub,25952
Socket adaptor,23986
Automation switch,30623
Boiler switch,30630
Electricity switch,30632
Kinetic switch,35866
Non-dimmable switch,26096
Switch,9500
Lighting remote switch,25951
Door chime pager,31474
Video intercom call box,31475
Intercom phone,31473
Video intercom call button,31476
Video intercom screen,31477
Door chime,18667
Mains-powered wired door chime,25639
Intercom system,25640
Battery tester,35805
Jump starter,28812
Jump starter & power bank,28815
Jump starter with compressor,28814
Car battery charger,28807
Smart car battery charger,28808
Sealed lead-acid battery,25650
Batteries,30531
Power bank,25648
Button cell batteries,30506
Button cell battery,25653
Coin cell batteries,30507
Coin cell battery,25654
Battery charger with batteries,25651
Electric vehicle charging point,36220
Electric vehicle charger adapter,36190
Portable electric vehicle charger,36197
Electrical vehicle cable & charging point,35939
Electrical vehicle charging point,25614
Electrical vehicle charging cable,25631
Phone armband,35946
Headphone adaptor,30038
Phone holder with socket & USB,35453
Two way radios,34980
Walkie talkies,34979
In-car charger,34438
USB adaptor plug,34594
Wired charger,34439
Earbuds,34245
Earphones,34244
Earpods,34304
Headphones,34427
Office headphones,35940
Headset,34916
Laminating pouch,33690
Electrical isolating kit,35172
Phone case,30625
International travel adaptor,30001
Travel adaptor,30089
Wireless charger,25661
Power supply adaptor,25655
Key finder,25658
Phone charging case,30004
Charging cable,25659
Ceiling speaker,25657
Card reader,25656
Call blocker,33687
Telephone extension lead,25632
Extension cable kit,30302
Miniflex telephone extension kit,30003
Slimline telephone & modem extension reel,30039
Slimline telephone extension kit,30061
Telephone extension kit,25633
Double adaptor,30002
Headphone adaptor kit,30060
Master in-line adaptor,30076
Secondary in-line adaptor,30090
Telephone adaptor,25634
Triple adaptor,30100
Alarm contact,36226
Alarm contact & sensor,36222
Alarm sensor,36227
Intruder alarm sensor mount,35958
Intruder alarm control panel cover,35950
Security signal detector,35341
Security signal transmitter,35342
Dummy bell box,32955
Dummy siren,31800
Flashing dummy siren,31801
Bell box,31805
Siren,25732
Motion sensor PIR with camera,25731
Intruder alarm remote key pad,25737
Keypad,18675
Intruder alarm panic button,25736
Intruder alarm motion sensor,25735
Motion detector,33011
Shed & garage alarm kit,34778
Alarm key fob,33935
Intruder alarm key fob,25741
Intruder alarm tag,25739
Key fob,33933
CCTV alarm dongle,33729
Intruder alarm dongle,25738
Intruder alarm control panel,25740
Alarm contact sensor,33106
Contact sensor,33932
Intruder alarm contact,25734
Intruder alarm sensor,25742
Shock sensor,36639
Cable reel with worklight,35949
Garden spike extension lead,35414
Extension lead & wireless charger,35266
Power strip with wireless charger,36134
Wireless multi-socket,35267
Extension lead,13372
Extension lead with USB,13378
Power strip,33520
Power strip extension lead cable,33856
Empty cable reel,21159
Computer lead,21806
Earthed appliance replacement cord,21790
Heating appliances lead,34487
Power cord,30198
Radio lead,21794
Tool replacement cord,21807
Rewireable socket,25666
Trailing socket,13387
Plug adaptor with USB,25664
Multi voltage adaptor,30037
Multi-way plug adaptor,25789
Phono to scart adaptor,30889
Surge adaptor,30059
Temperature controlled adaptor,30075
Extension lead with RCD,34649
Travel extension lead with USB,35478
Cable reel,21157
Cable reel with USBs,25665
Split load cable,31601
Telephone cable,25625
Optical lead,34398
Speaker cable,25621
Stereo cable,34713
Stereo jack to jack,34712
Multi-core cable,25618
Meter tails,25620
Meter tails & earth cable,30000
Fire cable,25624
Fire protected cable,30300
Fire resistant cable,34868
Heat cable,30888
Heat-resistant flex,30301
Ethernet cable,25623
Network cable,30058
Network cabling kit,29999
Conduit wiring,25617
Conduit wiring cable,30057
Single core conduit cable,30074
Wiring cable,30088
Coaxial cable,25615
Coaxial cable & booster kit,30296
Coaxial connecting kit,33728
Satellite cable,25616
Satellite extension kit,30298
Satellite flylead,29997
Shotgun cable,30299
S-Video cable,33740
TV cable extension kit,30297
TV/FM coaxial cable,34488
Bell cable,25622
Bell wire,11945
Alarm & door phone cable,29996
Alarm cable,25619
Consumer unit signal lamp,35921
Electrical meter board,35925
Smart door lock keycard,35516
Smart door lock key fob,35515
Smart door lock phone tag,35514
Electrical meter,34350
Insulating gel,21756
Inline relay,33241
Arrival terminal,31599
Command block,31597
Command block cover,31596
Auxiliary contact,31595
Surge protection device cartridge,31607
Old miniature circuit breaker,31594
Surge protection device,31592
Consumer unit door,31591
Impulse relay,31590
Signal,31588
Invertor,28810
Power inverter,28811
Split load kit,26023
Dual RCD,30292
RCD garage unit,30293
RCD shower unit,30294
Residual current device (RCD),26025
RCBO,30622
Residual-current circuit breaker overload protection (RCBO),26027
Residual-current circuit breaker overload protection (RCBO) & arc fault detection device (AFDD),35764
Miniature circuit breaker,26216
Miniature circuit breaker lockout,26029
Lockout tags,26030
Lockout kit,26031
Enclosed mains supply isolator,26032
Incomer main switch isolator,30291
Isolator,25294
Unpopulated domestic consumer unit,26033
Consumer unit,29995
Partially populated domestic consumer unit,26035
Type B incomer kit,33727
Enclosure consumer unit,30290
Fully populated domestic consumer unit,26079
Main switch,26043
Main switch consumer unit,29994
Earth terminal kit,26037
Cover lock,26038
Blank module,29993
Blank plates,26039
MCB blank,30035
Contactor,26040
Cable entry gland,26041
Busbar,26021
